name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude,provinsi
Ritz Consultant Psikologi (Praktek Psikolog),Psychologist,"ritz consultant psikologi (praktek psikolog), depan paud inklusi harsya ceria, jl. h. usman no.22, jeulingke, kec. syiah kuala, kota banda aceh, aceh 24415, indonesia",tidak diketahui,+62 811-6809-330,5.0,26.0,95.3441249,5.5741121,Aceh
Sanubari Psikologi (Praktik Psikolog Cut Maghfirah Faisal),Psychologist,"sanubari psikologi (praktik psikolog cut maghfirah faisal), jl. tm pahlawan, ateuk pahlawan, baiturrahman, banda aceh city, aceh, indonesia",https://www.instagram.com/sanubari.psi/,+62 895-3411-74100,5.0,50.0,95.3240021,5.5475893,Aceh
"Klinik Psikologi Seedtosparkle (Firsta Faizah, S.Psi, M.Psi, Psikolog)",Psychologist,"klinik psikologi seedtosparkle (firsta faizah, s.psi, m.psi, psikolog), jl. prada utama no.11, peurada, syiah kuala, banda aceh city, aceh 23115, indonesia",https://www.instagram.com/yourpsychologist_firsta?igsh=OGFjdnZmaDZyaWNu&utm_source=qr,+62 811-6841-662,5.0,44.0,95.3487201,5.5716962,Aceh
Psikodista Consultant,Psychologist,"psikodista consultant, jl. t. imum luengbata. 22 - 24, kecamatan, kec. lueng bata, kota banda aceh, aceh 23247, indonesia",http://www.psikodista.com/,+62 651 26245,0.0,43.0,95.3361829,5.5437292,Aceh
Yayasan Praktek Psikolog Indonesia Cabang Aceh,Psychologist,"g7mx+58j yayasan praktek psikolog indonesia cabang aceh, lamtemen bar., kec. jaya baru, kota banda aceh, aceh 23232, indonesia",tidak diketahui,tidak diketahui,5.0,3.0,95.2977906,5.5328705,Aceh
Praktik Psikolog Klinis - Scandic Psycho Consulting,Psychotherapist,"g9r4+8q6 praktik psikolog klinis - scandic psycho consulting, jl. peukan blang 1, miruk, krueng barona jaya, aceh besar regency, aceh 23116, indonesia",http://www.scandicconsulting.com/,+62 822-7557-3638,5.0,17.0,95.3568977,5.5407123,Aceh
Personal Space (Praktek Psikolog),Psychologist,"g7mx+545 personal space (praktek psikolog), jl. cut nyak dhien, lamtemen bar., kec. jaya baru, kota banda aceh, aceh, indonesia",https://instagram.com/personalspace.psy?igshid=OGQ5ZDc2ODk2ZA==,+62 852-1860-4902,5.0,7.0,95.2978526,5.5328779,Aceh
LETICIA WELLNESS CENTER - Praktek Hipnoterapi dan konseling psikologi Denpasar Bali ( LWC ),Psychotherapist,"leticia wellness center - praktek hipnoterapi dan konseling psikologi denpasar bali ( lwc ), jl. gn. agung no.9b, tegal kertha, kec. denpasar bar., kota denpasar, bali 80118, indonesia",tidak diketahui,+62 819-9049-9990,0.0,33.0,115.1914968,-8.6504343,Bali
"Praktek Psikologi DC Wellness Centre, psikolog I Gusti Agung Ayu Yunita Utami",Psychologist,"praktek psikologi dc wellness centre, psikolog i gusti agung ayu yunita utami, jl. pidada v, ubung, denpasar utara, denpasar city, bali 80111, indonesia",tidak diketahui,+62 821-4491-6261,0.0,17.0,115.1999526,-8.6360541,Bali
Dian Selaras Psikologi & Hipnoterapi Bali / Praktik Psikologi Mandiri,Psychologist,"dian selaras psikologi & hipnoterapi bali / praktik psikologi mandiri, jl. tukad gangga iv no.12-a, panjer, denpasar selatan, kota denpasar, bali 80000, indonesia",https://www.dianselaraspsikologibali.com/,+62 812-3711-5409,0.0,45.0,115.2271553,-8.6751915,Bali
LETICIA WELLNESS CENTER 2 - Praktik hipnoterapi dan konseling psikologi ( LWC-2 ),Mental health clinic,"leticia wellness center 2 - praktik hipnoterapi dan konseling psikologi ( lwc-2 ), sebelah resto ayam jfc, jl. raya kesambi no.9, kerobokan, kec. kuta utara, kabupaten badung, bali 80361, indonesia",tidak diketahui,+62 819-9049-9990,5.0,14.0,115.1722731,-8.6528475,Bali
"Pradnyagama, Pusat Layanan Psikologi Bali",Psychologist,"pradnyagama, pusat layanan psikologi bali, jl. tukad yeh aya no.183, renon, denpasar selatan, denpasar city, bali 80226, indonesia",https://psikologibali.com/,+62 857-3923-4234,0.0,122.0,115.240499,-8.676963,Bali
"Konsultasi psikologi, Hipnoterapi, Psikiater dr I Gusti Rai Wiguna SpKJ",Psychiatrist,"konsultasi psikologi, hipnoterapi, psikiater dr i gusti rai wiguna spkj, jl. jend. sudirman no.1, dauh puri klod, denpasar barat, denpasar city, bali 80234, indonesia",http://psikiaterbali.com/,+62 812-3900-8080,0.0,127.0,115.2178344,-8.6738966,Bali
Praktek Psikolog Galang Dharma dan Sri Wiraswati,Psychologist,"praktek psikolog galang dharma dan sri wiraswati, jl. dewi madri viii no.5, panjer, denpasar selatan, denpasar city, bali 80235, indonesia",http://psikologrenon.wordpress.com/,+62 897-0832-042,5.0,23.0,115.2358463,-8.6636551,Bali
Layanan Psikolog Bintang Praba Dewi,Psychologist,"layanan psikolog bintang praba dewi, jl. raya padang luwih, kerobokan kaja, kec. kuta utara, kabupaten badung, bali 80361, indonesia",https://linktr.ee/BintangPrabaDewi,+62 817-9700-162,5.0,99.0,115.174891,-8.6366251,Bali
Bali Psikologi,Mental health clinic,"bali psikologi, jl. gunung talang no.70, padangsambian, kec. denpasar bar., kota denpasar, bali 80119, indonesia",https://balipsikologi.id/,+62 896-8888-2023,0.0,69.0,115.1884351,-8.6751468,Bali
Tes STIFIn Brain Denpasar - Bali,Psychologist,"tes stifin brain denpasar - bali, jl. tk. pancoran i, panjer, denpasar selatan, denpasar city, bali 80225, indonesia",https://stifinbrain.com/sukma,+62 812-3801-299,5.0,67.0,115.2275396,-8.6851418,Bali
Pradnyagama Jimbaran,Mental health clinic,"pradnyagama jimbaran, jl. garuda no.5, ungasan, south kuta, badung regency, bali 80361, indonesia",https://psikologibali.com/,+62 815-2948-8883,5.0,50.0,115.1693977,-8.8174889,Bali
Layanan Konseling Psikologi Titut Esti Koeswardani | Bali Empower,Psychologist,"layanan konseling psikologi titut esti koeswardani | bali empower, apotik indobat, jl. tukad yeh aya no.100, renon, denpasar selatan, denpasar city, bali 80234, indonesia",https://baliempower.com/,+62 877-7743-0348,0.0,14.0,115.2360252,-8.6772029,Bali
Praktek Psikolog Evitasari dan Weni Kumala,Psychologist,"praktek psikolog evitasari dan weni kumala, jl. pulau menjangan no.61x, dauh puri klod, kec. denpasar bar., kota denpasar, bali 80113, indonesia",https://yubi.id/ppmevitaweni,+62 821-4464-9065,5.0,12.0,115.2105662,-8.6818846,Bali
"Praktek Psikolog Ilham Dewi S. Psi, Psikolog",Psychologist,"praktek psikolog ilham dewi s. psi, psikolog, jl. trijata no.38, dangin puri kangin, denpasar utara, denpasar city, bali 80233, indonesia",tidak diketahui,+62 812-3607-479,5.0,1.0,115.2242229,-8.6453929,Bali
"Praktik Psikolog Titut Esti Koeswardani, M.Psi., Psikolog",Psychologist,"praktik psikolog titut esti koeswardani, m.psi., psikolog, perumahan graha karangasem residence blok b1 jl. veteran bypass jalur 11, padang kerta, kelod, kabupaten karangasem, bali 80811, indonesia",https://baliempower.travabali.com/,+62 895-3859-32921,5.0,7.0,115.5882653,-8.4438674,Bali
Relive Psychological Service Center,Psychologist,"relive psychological service center, jl. nuansa utama no.6x, jimbaran, south kuta, badung regency, bali 80361, indonesia",tidak diketahui,+62 878-4090-1703,5.0,101.0,115.1851802,-8.7999975,Bali
Psiko Udayana Learning Center,Psychologist,"psiko udayana learning center, jl. veteran no.5, dangin puri kauh, denpasar utara, denpasar city, bali 80232, indonesia",tidak diketahui,+62 361 244957,5.0,7.0,115.2168799,-8.6540116,Bali
Denpasar Mental Health Centre (DMHC) and Wellness,Psychologist,"denpasar mental health centre (dmhc) and wellness, jl. padang gajah jalan utara rs balimed no.8, padangsambian, denpasar barat, denpasar city, bali 80117, indonesia",http://www.denpasarmentalhealthcentre.my.id/,+62 896-3820-7300,0.0,196.0,115.1911583,-8.6558351,Bali
"Biro Psikologi, Riset & Pengembangan SDM, AGET Development",Psychologist,"biro psikologi, riset & pengembangan sdm, aget development, jl. kepundung no.12, dangin puri, east denpasar, denpasar city, bali 80232, indonesia",http://www.agetdevelopment.com/,+62 822-1012-6118,5.0,131.0,115.2203603,-8.655076,Bali
Sense Hypno Bali - Layanan Psikologi & Hipnoterapi,Psychologist,"sense hypno bali - layanan psikologi & hipnoterapi, gg. c no.5, dangin puri, east denpasar, denpasar city, bali 80232, indonesia",http://sensehypno.com/,+62 812-3855-333,5.0,10.0,115.2196699,-8.6547949,Bali
PRADNYAGAMA GIANYAR,Psychologist,"pradnyagama gianyar, jl. bay pass dharma giri, desa bitera, sebelah utara pengadilan agama, gianyar, kec. gianyar, bali 80515, indonesia",https://bit.ly/pradnyagama-gianyar,+62 819-3662-5110,0.0,27.0,115.3145518,-8.5466305,Bali
Ni Ketut Jeni Adhi Psikolog (Tema Insani),Psychologist,"ni ketut jeni adhi psikolog (tema insani), gg. iii no.16, delod peken, kec. tabanan, kabupaten tabanan, bali 82113, indonesia",tidak diketahui,+62 812-3961-4056,0.0,7.0,115.1327132,-8.5375936,Bali
G KUSUMA,Psychologist,"g kusuma, kerobokan kaja, jl. gunung sanghyang no.8k blok 8, kerobokan, kec. kuta utara, kabupaten badung, bali 80361, indonesia",tidak diketahui,tidak diketahui,0.0,4.0,115.1812203,-8.6477506,Bali
Pradnyagama,Psychologist,"pradnyagama, jl. gatot subroto vi b no.9, dauh puri kaja, denpasar utara, denpasar city, bali 80111, indonesia",https://psikologibali.com/,+62 813-3918-7058,5.0,8.0,115.2151997,-8.6371478,Bali
Biro Pisikologi Dasa Bratha,Psychologist,"biro pisikologi dasa bratha, perum pratama, jl. gatot subroto i no.58b, tonja, kec. denpasar utara, kota denpasar, bali 80234, indonesia",tidak diketahui,+62 361 8450187,0.0,2.0,115.2217944,-8.6298914,Bali
Ankara - Pusat Layanan Psikologi,Psychologist,"ankara - pusat layanan psikologi, gg. 18x no.6, sesetan, denpasar selatan, kota denpasar, bali 80225, kota denpasar, bali 80235, indonesia",tidak diketahui,+62 853-3789-8283,5.0,14.0,115.2219677,-8.6843938,Bali
Praktek Psikolog Yuli Pratiwi (p.i consulting),Psychologist,"praktek psikolog yuli pratiwi (p.i consulting), jl. pura demak gg. air mancur no.101, pemecutan klod, kec. denpasar bar., kota denpasar, bali 80119, indonesia",https://linkr.bio/zlr29m,+62 857-3851-0688,5.0,5.0,115.1967335,-8.6731688,Bali
Griya Sehat Cempaka Karangasem,Psychologist,"hh5v+vmp griya sehat cempaka karangasem, jl. banteng, padang kerta, kec. karangasem, kabupaten karangasem, bali 80811, indonesia",https://www.instagram.com/griyasehatcempaka_karangasem?igsh=cmlqMWM0Mmp0cTMw,+62 895-3859-32921,5.0,2.0,115.5942043,-8.440286,Banten
"Praktek dr. Made Sugiharta Jasa SpKJ (K), Psikiater/Psychiatrist",Mental health clinic,"praktek dr. made sugiharta jasa spkj (k), psikiater/psychiatrist, gg. merta gangga no.6, pemogan, denpasar selatan, denpasar city, bali 80113, indonesia",tidak diketahui,tidak diketahui,5.0,15.0,115.1966811,-8.6902781,Bali
"dr. I Gde Yudhi Kurniawan, SpKJ",Psychiatrist,"dr. i gde yudhi kurniawan, spkj, jl. p.b. sudirman no.1a, dauh puri klod, kec. denpasar bar., kota denpasar, bali 80113, indonesia",https://linktr.ee/dokteryudhi,+62 851-1750-0808,0.0,26.0,115.2177276,-8.6738004,Bali
Biro Layanan Psikologi Umah Lentera,Psychologist,"biro layanan psikologi umah lentera, jl. cenigan sari no.30, sesetan, denpasar selatan, kota denpasar, bali 80222, indonesia",tidak diketahui,+62 812-3714-7370,5.0,1.0,115.2217492,-8.6990096,Bali
Bali Mental Health Clinic,Mental health clinic,"bali mental health clinic, jl. imam bonjol no.125, pemecutan klod, denpasar barat, denpasar city, bali 80112, indonesia",http://balimentalhealthclinic.com/,+62 813-7000-0305,0.0,39.0,115.2064686,-8.667161,Bali
"dr. Putu Belly Sutrisna, M.Biomed., SpKJ., S.Kom, PhD",Psychiatrist,"dr. putu belly sutrisna, m.biomed., spkj., s.kom, phd, jl. padang gajah no.8, padangsambian, denpasar barat, denpasar city, bali 80117, indonesia",http://www.denpasarmentalhealthcentre.my.id/,tidak diketahui,0.0,15.0,115.1917694,-8.6552422,Bali
Pradnyagama Sempidi,Psychologist,"pradnyagama sempidi, jl. raya sempidi br. umegunung sempidi no.23, sempidi, kec. mengwi, kabupaten badung, bali 80117, indonesia",http://psikologibali.com/,+62 853-3842-0978,0.0,9.0,115.1812138,-8.6088452,Bali
Preema Psikologi,Psychologist,"preema psikologi, jl. brigjen ngurah rai no.18, kawan, kec. bangli, kabupaten bangli, bali 80614, indonesia",tidak diketahui,+62 823-4147-9469,5.0,2.0,115.3526396,-8.4593596,Bali
Bali Counseling Room,Mental health service,"bali counseling room, jl. kartini no.105, dauh puri kaja, denpasar utara, denpasar city, bali 80231, indonesia",tidak diketahui,+62 877-7456-8080,0.0,26.0,115.2131647,-8.6508442,Bali
Himpunan Psikologi Indonesia,Psychologist,"86g9+wg6 himpunan psikologi indonesia, sekretariat wilayah : program studi psikologi, fakultas kedokteran, universitas udayana, dauh puri klod, kec. denpasar bar., kota denpasar, bali 80234, indonesia",tidak diketahui,+62 361 262275,0.0,2.0,115.2187727,-8.6727106,Bali
"Psikolog Ilham Dewi Sukamembah, S. Psi.",Psychologist,"f46m+7cw psikolog ilham dewi sukamembah, s. psi., jl. ks. tubun, delod peken, tabanan, tabanan regency, bali 82121, indonesia",tidak diketahui,tidak diketahui,3.0,4.0,115.1335825,-8.5392718,Bali
Pradnyagama Singaraja,Mental health clinic,"pradnyagama singaraja, jl. toya anakan 2, perum graha asri lc 8 timur, blok b no 15, banyuasri, kec. buleleng, kabupaten buleleng, bali 55281, indonesia",http://psikologibali.com/,+62 812-3679-4283,0.0,12.0,115.0767472,-8.123716,Bali
Kantor Layanan Psikologi,Psychologist,"kantor layanan psikologi, jl. gunung sanghyang no.8, kerobokan kaja, kuta utara, badung regency, bali 80118, indonesia",tidak diketahui,tidak diketahui,3.0,5.0,115.181224,-8.6477595,Bali
